text	sentiment
films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before . 	1
for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen . 	1
to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd . 	1
the book ( or " graphic novel , " if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes . 	1
in other words , don't dismiss this film because of its source . 	1
if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes . 	1
getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ? 	1
the ghetto in question is , of course , whitechapel in 1888 london's east end . 	1
it's a filthy , sooty place where the whores ( called " unfortunates " ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision . 	1
when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case . 	1
abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium . 	1
upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach . 	1
i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay . 	1
in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end . 	1
it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts . 	1
and from hell's ending had me whistling the stonecutters song from the simpsons for days ( " who holds back the electric car/who made steve guttenberg a star ? " ) . 	1
don't worry - it'll all make sense when you see it . 	1
now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) . 	1
the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic . 	1
oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place . 	1
even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent . 	1
ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham . 	1
i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad . 	1
the film , however , is all good . 	1
2 : 00 - r for strong violence/gore , sexuality , language and drug content 	1
every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling . 	1
mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example . 	1
did anybody know this film existed a week before it opened ? 	1
the plot is deceptively simple . 	1
george washington carver high school is having student elections . 	1
tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high . 	1
mr . " m " ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run . 	1
and paul's nihilistic sister jumps in the race as well , for personal reasons . 	1
the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be . 	1
you can't help going in with the baggage of glowing reviews , which is in contrast to the negative baggage that the reviewers were likely to have . 	1
_election , a good film , does not live up to its hype . 	1
what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier . 	1
the similarities are staggering : 	1
tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play . 	1
max fischer ( _rushmore_ ) is the president of an extraordinary number of clubs , and is involved with the school play . 	1
the most significant tension of _election_ is the potential relationship between a teacher and his student . 	1
the most significant tension of _rushmore_ is the potential relationship between a teacher and his student . 	1
tracy flick is from a single parent home , which has contributed to her drive . 	1
max fischer is from a single parent home , which has contributed to his drive . 	1
the male bumbling adult in _election_ ( matthew broderick ) pursues an extramarital affair , gets caught , and his whole life is ruined . 	1
he even gets a bee sting . 	1
the male bumbling adult in _rushmore_ ( bill murray ) pursues an extramarital affair , gets caught , and his whole life is ruined . 	1
he gets several bee stings . 	1
and so on . 	1
what happened ? 	1
how is it that an individual screenplay ( _rushmore_ ) and a novel ( _election_ ) contain so many significant plot points , and yet both films were probably not even aware of each other , made from two different studios , from a genre ( the high school geeks revenge movie ) that hadn't been fully formed yet ? 	1
even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy . 	1
broderick here is playing the mr . rooney role from _ferris bueller_ , and he seems to be having the most fun he's had since then . 	1
witherspoon is a revelation . 	1
it's early in the year , it's a comedy , and teenagers have little clout , but for my money , witherspoon deserves an oscar nomination . 	1
and once campbell's character gets going , like in her fantastic speech in the gymnasium , then you're won over . 	1
one thing that's been bothering me since i've seen it . 	1
there is an extraordinary amount of sexuality in this film . 	1
i suppose that , coming from mtv films , i should expect no less . . . 	1
but the film starts off light and airy , like a sitcom . 	1
as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story . 	1
it is bad enough that mr . m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ? 	1
even so , there's no logical reason why mr . m has an affair when he does . 	1
there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment . 	1
you've got mail works alot better than it deserves to . 	1
in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits . 	1
no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) . 	1
essentially , it goes against and defies all concepts of good contemporary filmmaking . 	1
it's overly sentimental and at times terribly mushy , not to mention very manipulative . 	1
but oh , how enjoyable that manipulation is . 	1
but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle . 	1
it couldn't have been the directing , because both films were helmed by the same woman . 	1
i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ? 	1
if you like something so much , why even question it ? 	1
again , the storyline is as cliched as they come . 	1
tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner . 	1
fox and kelley soon become bitter rivals because the new fox books store is opening up right across the block from the small business . 	1
little do they know , they are already in love with each other over the internet , only neither party knows the other person's true identity . 	1
the rest of the story isn't important because all it does is serve as a mere backdrop for the two stars to share the screen . 	1
sure , there are some mildly interesting subplots , but they all fail in comparison to the utter cuteness of the main relationship . 	1
all of this , of course , leads up to the predictable climax . 	1
but as foreseeable as the ending is , it's so damn cute and well-done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does . 	1
when ryan discovers the true identity of her online love , i was filled with such , for lack of a better word , happiness that for the first time all year , i actually left the theater smiling . 	1
 " jaws " is a rare film that grabs your attention before it shows you a single image on screen . 	1
the movie opens with blackness , and only distant , alien-like underwater sounds . 	1
then it comes , the first ominous bars of composer john williams' now infamous score . 	1
dah-dum . 	1
from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly . 	1
right away he lets us know how vulnerable we all are floating in the ocean , and once " jaws " has attacked , it never relinquishes its grip . 	1
perhaps what is most outstanding about " jaws " is how spielberg builds the movie . 	1
he works it like a theatrical production , with a first act and a second act . 	1
unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act . 	1
until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music . 	1
he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying . 	1
he doesn't let us get bored with the imagery . 	1
the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years . 	1
the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money . 	1
brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute . 	1
hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( " it's a perfect engine , an eating machine " ) make it that much more terrifying . 	1
when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark . 	1
the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it . 	1
 " jaws " is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror . 	1
it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by " star wars " ) . 	1
